Web Search interest: dolar; colombia stock exchange; ecopetrol; precio dolar; bolsa de valores colombia
Colombia; 2004 - present

Interest over time
Week,dolar,colombia stock exchange,ecopetrol,precio dolar,bolsa de valores colombia
2009-05-10 - 2009-05-16,15,0,9,3,2
2009-05-17 - 2009-05-23,15,0,8,3,3
2009-05-24 - 2009-05-30,13,0,8,3,1
2009-05-31 - 2009-06-06,16,0,10,4,2
2009-06-07 - 2009-06-13,18,0,9,4,2
2009-06-14 - 2009-06-20,19,0,8,4,2
2009-06-21 - 2009-06-27,16,0,8,4,1
2009-06-28 - 2009-07-04,18,0,8,4,2
2009-07-05 - 2009-07-11,14,0,10,4,2
2009-07-12 - 2009-07-18,16,0,9,5,2
2009-07-19 - 2009-07-25,20,0,11,5,2
2009-07-26 - 2009-08-01,20,0,10,5,2
2009-08-02 - 2009-08-08,17,0,10,4,2
2009-08-09 - 2009-08-15,16,0,10,4,2
2009-08-16 - 2009-08-22,16,0,9,4,2
2009-08-23 - 2009-08-29,15,0,12,4,2
2009-08-30 - 2009-09-05,14,0,9,3,2
2009-09-06 - 2009-09-12,14,0,9,3,2
2009-09-13 - 2009-09-19,14,0,8,4,3
2009-09-20 - 2009-09-26,18,0,8,4,3
2009-09-27 - 2009-10-03,17,0,7,4,3
2009-10-04 - 2009-10-10,16,0,8,3,3
2009-10-11 - 2009-10-17,20,0,6,5,2
2009-10-18 - 2009-10-24,20,0,7,4,3
2009-10-25 - 2009-10-31,19,0,7,4,2
2009-11-01 - 2009-11-07,16,0,8,3,2
2009-11-08 - 2009-11-14,15,0,8,4,2
2009-11-15 - 2009-11-21,12,0,7,2,2
2009-11-22 - 2009-11-28,15,0,7,3,2
2009-11-29 - 2009-12-05,15,0,10,3,2
2009-12-06 - 2009-12-12,14,0,8,3,2
2009-12-13 - 2009-12-19,15,0,10,3,1
2009-12-20 - 2009-12-26,16,0,7,4,2
2009-12-27 - 2010-01-02,14,0,8,2,1
2010-01-03 - 2010-01-09,17,0,10,4,2
2010-01-10 - 2010-01-16,18,0,10,4,1
2010-01-17 - 2010-01-23,15,0,10,3,2
2010-01-24 - 2010-01-30,14,0,9,3,2
2010-01-31 - 2010-02-06,14,0,10,2,2
2010-02-07 - 2010-02-13,15,0,8,3,2
2010-02-14 - 2010-02-20,14,0,9,3,2
2010-02-21 - 2010-02-27,12,0,9,2,3
2010-02-28 - 2010-03-06,14,0,9,3,2
2010-03-07 - 2010-03-13,14,0,9,2,2
2010-03-14 - 2010-03-20,13,0,11,3,2
2010-03-21 - 2010-03-27,14,0,12,3,2
2010-03-28 - 2010-04-03,12,0,9,2,2
2010-04-04 - 2010-04-10,12,0,10,2,3
2010-04-11 - 2010-04-17,12,0,9,3,3
2010-04-18 - 2010-04-24,10,0,10,2,2
2010-04-25 - 2010-05-01,11,0,11,2,3
2010-05-02 - 2010-05-08,14,0,8,3,3
2010-05-09 - 2010-05-15,15,0,9,3,3
2010-05-16 - 2010-05-22,15,0,9,3,3
2010-05-23 - 2010-05-29,13,0,8,2,2
2010-05-30 - 2010-06-05,13,0,9,3,2
2010-06-06 - 2010-06-12,14,0,8,3,1
2010-06-13 - 2010-06-19,10,0,7,2,2
2010-06-20 - 2010-06-26,14,0,7,3,2
2010-06-27 - 2010-07-03,13,0,7,3,2
2010-07-04 - 2010-07-10,12,0,8,3,1
2010-07-11 - 2010-07-17,12,0,10,2,2
2010-07-18 - 2010-07-24,13,0,9,3,2
2010-07-25 - 2010-07-31,13,0,10,2,3
2010-08-01 - 2010-08-07,13,0,14,2,3
2010-08-08 - 2010-08-14,17,0,11,3,3
2010-08-15 - 2010-08-21,15,0,9,3,2
2010-08-22 - 2010-08-28,14,0,10,3,4
2010-08-29 - 2010-09-04,13,0,10,2,3
2010-09-05 - 2010-09-11,12,0,11,3,3
2010-09-12 - 2010-09-18,15,0,9,3,2
2010-09-19 - 2010-09-25,14,0,9,3,3
2010-09-26 - 2010-10-02,13,0,9,4,3
2010-10-03 - 2010-10-09,14,0,8,3,5
2010-10-10 - 2010-10-16,14,0,9,3,5
2010-10-17 - 2010-10-23,13,0,9,2,4
2010-10-24 - 2010-10-30,15,0,9,3,4
2010-10-31 - 2010-11-06,14,0,10,3,3
2010-11-07 - 2010-11-13,16,0,10,3,4
2010-11-14 - 2010-11-20,15,0,10,3,5
2010-11-21 - 2010-11-27,14,0,9,3,4
2010-11-28 - 2010-12-04,17,0,9,5,4
2010-12-05 - 2010-12-11,17,0,8,4,3
2010-12-12 - 2010-12-18,18,0,11,3,3
2010-12-19 - 2010-12-25,16,0,8,3,3
2010-12-26 - 2011-01-01,18,0,7,4,2
2011-01-02 - 2011-01-08,15,0,8,3,2
2011-01-09 - 2011-01-15,14,0,8,3,2
2011-01-16 - 2011-01-22,13,0,8,3,2
2011-01-23 - 2011-01-29,13,0,8,3,2
2011-01-30 - 2011-02-05,11,0,8,2,2
2011-02-06 - 2011-02-12,10,0,7,2,2
2011-02-13 - 2011-02-19,11,0,7,2,2
2011-02-20 - 2011-02-26,11,0,8,2,2
2011-02-27 - 2011-03-05,11,0,8,3,2
2011-03-06 - 2011-03-12,11,0,8,3,2
2011-03-13 - 2011-03-19,11,0,9,3,2
2011-03-20 - 2011-03-26,10,0,10,2,2
2011-03-27 - 2011-04-02,10,0,9,3,2
2011-04-03 - 2011-04-09,11,0,9,3,2
2011-04-10 - 2011-04-16,12,0,7,3,2
2011-04-17 - 2011-04-23,9,0,6,2,1
2011-04-24 - 2011-04-30,12,0,9,3,2
2011-05-01 - 2011-05-07,13,0,9,3,2
2011-05-08 - 2011-05-14,11,0,8,3,3
2011-05-15 - 2011-05-21,12,0,9,3,3
2011-05-22 - 2011-05-28,12,0,9,3,2
2011-05-29 - 2011-06-04,12,0,8,3,2
2011-06-05 - 2011-06-11,13,0,8,3,2
2011-06-12 - 2011-06-18,13,0,7,3,2
2011-06-19 - 2011-06-25,12,0,8,3,2
2011-06-26 - 2011-07-02,12,0,7,3,1
2011-07-03 - 2011-07-09,12,0,9,2,2
2011-07-10 - 2011-07-16,11,0,17,2,2
2011-07-17 - 2011-07-23,10,0,34,3,2
2011-07-24 - 2011-07-30,12,0,74,3,2
2011-07-31 - 2011-08-06,12,0,34,3,2
2011-08-07 - 2011-08-13,14,0,24,4,3
2011-08-14 - 2011-08-20,11,0,26,3,2
2011-08-21 - 2011-08-27,11,0,13,3,2
2011-08-28 - 2011-09-03,11,0,12,3,2
2011-09-04 - 2011-09-10,10,0,12,3,2
2011-09-11 - 2011-09-17,11,0,12,2,2
2011-09-18 - 2011-09-24,15,0,13,4,2
2011-09-25 - 2011-10-01,15,0,13,4,3
2011-10-02 - 2011-10-08,15,0,17,4,3
2011-10-09 - 2011-10-15,14,0,18,4,2
2011-10-16 - 2011-10-22,13,0,16,3,2
